window_start,window_end,market_slug,open_price,close_price,token_ids
2026-06-23T10:40:00+00:00,2026-06-23T10:45:00+00:00,btc-updown-5m-1782211200,62310.24,,"[""1930011114506672448116792519640647588992341354971743689190402512801572365987"", ""114461426433659007783794508803197187853272537809536255245378693887283207158011""]"
2026-06-23T10:45:00+00:00,2026-06-23T10:50:00+00:00,btc-updown-5m-1782211500,62268.43,,"[""72090482423338903946869188317789926458878540315007943077676723617230635744174"", ""18620358446735951406630752861869162737975615041763650009382933092323495831008""]"
2026-06-23T10:50:00+00:00,2026-06-23T10:55:00+00:00,btc-updown-5m-1782211800,62293.29,,"[""92947285332296592826586867119189576892465308694305045245488175306054508146250"", ""74256164236110382876302561439733083020491432484267468958920931914536421027349""]"
2026-06-23T10:55:00+00:00,2026-06-23T11:00:00+00:00,btc-updown-5m-1782212100,62279.09,,"[""90685767313319229069562080968324196924025826640823177236039414539616401557261"", ""58010979096329246735196520856075502123387911831660417962440842954390127486585""]"
2026-06-23T11:00:00+00:00,2026-06-23T11:05:00+00:00,btc-updown-5m-1782212400,62328.01,,"[""97799866892184878370956076147584648941943671811886104201883119344792794717466"", ""20886494838879639944457906195368106632197344525313767754498718770144530000478""]"
2026-06-23T11:05:00+00:00,2026-06-23T11:10:00+00:00,btc-updown-5m-1782212700,62335.98,,"[""109651252478461048494465732440358356650964838605507055783980329337319775872389"", ""96224377581399844204993605749776854081996922700008969851838089789546111231888""]"
2026-06-23T11:10:00+00:00,2026-06-23T11:15:00+00:00,btc-updown-5m-1782213000,62356.21,,"[""62449684508321580068578409388273305699082307094757604430497487108465212469057"", ""91137853748023873208048853819320624822296862874765573958534999322885793659864""]"
2026-06-23T11:15:00+00:00,2026-06-23T11:20:00+00:00,btc-updown-5m-1782213300,62394.51,,"[""58086121256275619924601750782918982645165664112027548442291821514505952466375"", ""4359784271337023515519904481449302585493283717859218737970797151666145505490""]"
2026-06-23T11:20:00+00:00,2026-06-23T11:25:00+00:00,btc-updown-5m-1782213600,62435.99,,"[""65156403683271438278951773519996832935297099452196844188980131883826833592578"", ""39737698619240230407820636064563976631212960929634843093180682544594211023271""]"
2026-06-23T11:25:00+00:00,2026-06-23T11:30:00+00:00,btc-updown-5m-1782213900,62567.16,,"[""24677265969217939307655550353191931120177659451336201028139500965580282248083"", ""22446701672657873194161506914981474158811636635074910517194372157283807601033""]"
2026-06-23T11:30:00+00:00,2026-06-23T11:35:00+00:00,btc-updown-5m-1782214200,62552.11,,"[""111515309153437270255191790927449636016001624979102975237244142543653335785295"", ""44119733281917645987437663904838855499627423890392742726746533589270202228378""]"
2026-06-23T11:35:00+00:00,2026-06-23T11:40:00+00:00,btc-updown-5m-1782214500,62566.0,,"[""32058128388359479982183442273492509944668776842479077404905291878949924891026"", ""38071983242985412266929576292773915929845284164644825586991118248376985073534""]"
2026-06-23T11:40:00+00:00,2026-06-23T11:45:00+00:00,btc-updown-5m-1782214800,62627.67,,"[""52500978133629395853594172820039854645302113820268529951175481446484337341067"", ""71917747271633337231147175405686028865119297410960811920907369706545329194146""]"
2026-06-23T11:45:00+00:00,2026-06-23T11:50:00+00:00,btc-updown-5m-1782215100,62598.08,,"[""13156167118690120219925004531807508541545585307434400757741658741057585697491"", ""4423683079811244013253703211193295541127080707151180199129392532310740057695""]"
2026-06-23T11:50:00+00:00,2026-06-23T11:55:00+00:00,btc-updown-5m-1782215400,62448.25,,"[""38225160218235059929274261120111343743362505210262528264430523330594430030251"", ""62573087356592213596831218038535267604460565066679298987451327342879846528567""]"
2026-06-23T11:55:00+00:00,2026-06-23T12:00:00+00:00,btc-updown-5m-1782215700,62511.27,,"[""103745933029274169940803261969723575708589813560807558969268841988111557844856"", ""79732500984005997650176831856690014269610795879531206471397906423565377718505""]"
2026-06-23T12:00:00+00:00,2026-06-23T12:05:00+00:00,btc-updown-5m-1782216000,62516.0,,"[""49752271336588071349010432093739906753565343817886207168162243946117151219553"", ""74603159693587169580556702306367612718041290206206790001616823322177477702419""]"
2026-06-23T12:05:00+00:00,2026-06-23T12:10:00+00:00,btc-updown-5m-1782216300,62466.0,,"[""38093383116881437635047244146279916483996121646633449432400700714412638242566"", ""49203578926336752703009127997559656740423960163754924909486463544969723539453""]"
2026-06-23T12:10:00+00:00,2026-06-23T12:15:00+00:00,btc-updown-5m-1782216600,62478.01,,"[""58601900500075818190613991863094225265272684323492670659861703794461244853126"", ""65120285464456557055076128988612402827568998339749465351986636037068002381549""]"
2026-06-23T12:15:00+00:00,2026-06-23T12:20:00+00:00,btc-updown-5m-1782216900,62432.0,,"[""12845537008649590874685754690830678905754351491044538660713637016431299077369"", ""19712405877003036042072499743374131684675010870205789628858962486324333162331""]"
2026-06-23T12:20:00+00:00,2026-06-23T12:25:00+00:00,btc-updown-5m-1782217200,62414.84,,"[""60419863094041427403275829720193125276831997941108618751419551904865091345995"", ""17925579892052340710977614019120423358181803666918431647821948090354829665154""]"
2026-06-23T12:25:00+00:00,2026-06-23T12:30:00+00:00,btc-updown-5m-1782217500,62391.5,,"[""75485903910985903264028195584669995131338034554966650389262013918154776825022"", ""59547135569124410714110698285597152278043572578205093537601627059856639363198""]"
