ticker,open_time,close_time,result
KXBTC15M-26JUN251645-45,2026-06-25T20:30:00Z,2026-06-25T20:45:00Z,no
KXBTC15M-26JUN251730-30,2026-06-25T21:15:00Z,2026-06-25T21:30:00Z,yes
KXBTC15M-26JUN231615-15,2026-06-23T20:00:00Z,2026-06-23T20:15:00Z,yes
KXBTC15M-26JUN272230-30,2026-06-28T02:15:00Z,2026-06-28T02:30:00Z,no
KXBTC15M-26JUN251515-15,2026-06-25T19:00:00Z,2026-06-25T19:15:00Z,no
KXBTC15M-26JUN291030-30,2026-06-29T14:15:00Z,2026-06-29T14:30:00Z,yes
KXBTC15M-26JUN230915-15,2026-06-23T13:00:00Z,2026-06-23T13:15:00Z,no
KXBTC15M-26JUN231515-15,2026-06-23T19:00:00Z,2026-06-23T19:15:00Z,yes
KXBTC15M-26JUN271745-45,2026-06-27T21:30:00Z,2026-06-27T21:45:00Z,no
KXBTC15M-26JUN272045-45,2026-06-28T00:30:00Z,2026-06-28T00:45:00Z,no
KXBTC15M-26JUN291015-15,2026-06-29T14:00:00Z,2026-06-29T14:15:00Z,no
KXBTC15M-26JUN281945-45,2026-06-28T23:30:00Z,2026-06-28T23:45:00Z,yes
KXBTC15M-26JUN261515-15,2026-06-26T19:00:00Z,2026-06-26T19:15:00Z,yes
KXBTC15M-26JUN262230-30,2026-06-27T02:15:00Z,2026-06-27T02:30:00Z,yes
KXBTC15M-26JUN281830-30,2026-06-28T22:15:00Z,2026-06-28T22:30:00Z,no
KXBTC15M-26JUN230415-15,2026-06-23T08:00:00Z,2026-06-23T08:15:00Z,no
KXBTC15M-26JUN271900-00,2026-06-27T22:45:00Z,2026-06-27T23:00:00Z,yes
KXBTC15M-26JUN271815-15,2026-06-27T22:00:00Z,2026-06-27T22:15:00Z,no
KXBTC15M-26JUN292145-45,2026-06-30T01:30:00Z,2026-06-30T01:45:00Z,no
KXBTC15M-26JUN230100-00,2026-06-23T04:45:00Z,2026-06-23T05:00:00Z,no
KXBTC15M-26JUN270915-15,2026-06-27T13:00:00Z,2026-06-27T13:15:00Z,yes
KXBTC15M-26JUN262030-30,2026-06-27T00:15:00Z,2026-06-27T00:30:00Z,no
KXBTC15M-26JUN231115-15,2026-06-23T15:00:00Z,2026-06-23T15:15:00Z,no
KXBTC15M-26JUN272345-45,2026-06-28T03:30:00Z,2026-06-28T03:45:00Z,no
KXBTC15M-26JUN230845-45,2026-06-23T12:30:00Z,2026-06-23T12:45:00Z,no
KXBTC15M-26JUN292130-30,2026-06-30T01:15:00Z,2026-06-30T01:30:00Z,yes
KXBTC15M-26JUN231300-00,2026-06-23T16:45:00Z,2026-06-23T17:00:00Z,no
KXBTC15M-26JUN251615-15,2026-06-25T20:00:00Z,2026-06-25T20:15:00Z,yes
KXBTC15M-26JUN281615-15,2026-06-28T20:00:00Z,2026-06-28T20:15:00Z,yes
KXBTC15M-26JUN261130-30,2026-06-26T15:15:00Z,2026-06-26T15:30:00Z,yes
KXBTC15M-26JUN251700-00,2026-06-25T20:45:00Z,2026-06-25T21:00:00Z,no
KXBTC15M-26JUN291145-45,2026-06-29T15:30:00Z,2026-06-29T15:45:00Z,yes
KXBTC15M-26JUN251630-30,2026-06-25T20:15:00Z,2026-06-25T20:30:00Z,yes
KXBTC15M-26JUN262045-45,2026-06-27T00:30:00Z,2026-06-27T00:45:00Z,no
KXBTC15M-26JUN230830-30,2026-06-23T12:15:00Z,2026-06-23T12:30:00Z,no
KXBTC15M-26JUN300800-00,2026-06-30T11:45:00Z,2026-06-30T12:00:00Z,no
KXBTC15M-26JUN260930-30,2026-06-26T13:15:00Z,2026-06-26T13:30:00Z,no
KXBTC15M-26JUN281645-45,2026-06-28T20:30:00Z,2026-06-28T20:45:00Z,no
KXBTC15M-26JUN232345-45,2026-06-24T03:30:00Z,2026-06-24T03:45:00Z,yes
KXBTC15M-26JUN251445-45,2026-06-25T18:30:00Z,2026-06-25T18:45:00Z,no
KXBTC15M-26JUN270015-15,2026-06-27T04:00:00Z,2026-06-27T04:15:00Z,yes
KXBTC15M-26JUN281515-15,2026-06-28T19:00:00Z,2026-06-28T19:15:00Z,no
KXBTC15M-26JUN260430-30,2026-06-26T08:15:00Z,2026-06-26T08:30:00Z,yes
KXBTC15M-26JUN230930-30,2026-06-23T13:15:00Z,2026-06-23T13:30:00Z,no
KXBTC15M-26JUN230030-30,2026-06-23T04:15:00Z,2026-06-23T04:30:00Z,no
KXBTC15M-26JUN272300-00,2026-06-28T02:45:00Z,2026-06-28T03:00:00Z,yes
KXBTC15M-26JUN301100-00,2026-06-30T14:45:00Z,2026-06-30T15:00:00Z,no
KXBTC15M-26JUN291245-45,2026-06-29T16:30:00Z,2026-06-29T16:45:00Z,yes
KXBTC15M-26JUN291115-15,2026-06-29T15:00:00Z,2026-06-29T15:15:00Z,no
KXBTC15M-26JUN271700-00,2026-06-27T20:45:00Z,2026-06-27T21:00:00Z,yes
KXBTC15M-26JUN232230-30,2026-06-24T02:15:00Z,2026-06-24T02:30:00Z,no
KXBTC15M-26JUN272315-15,2026-06-28T03:00:00Z,2026-06-28T03:15:00Z,yes
KXBTC15M-26JUN260000-00,2026-06-26T03:45:00Z,2026-06-26T04:00:00Z,yes
KXBTC15M-26JUN291315-15,2026-06-29T17:00:00Z,2026-06-29T17:15:00Z,yes
KXBTC15M-26JUN260500-00,2026-06-26T08:45:00Z,2026-06-26T09:00:00Z,yes
KXBTC15M-26JUN272030-30,2026-06-28T00:15:00Z,2026-06-28T00:30:00Z,yes
KXBTC15M-26JUN300530-30,2026-06-30T09:15:00Z,2026-06-30T09:30:00Z,no
KXBTC15M-26JUN272115-15,2026-06-28T01:00:00Z,2026-06-28T01:15:00Z,no
KXBTC15M-26JUN301300-00,2026-06-30T16:45:00Z,2026-06-30T17:00:00Z,yes
KXBTC15M-26JUN251245-45,2026-06-25T16:30:00Z,2026-06-25T16:45:00Z,no
KXBTC15M-26JUN271445-45,2026-06-27T18:30:00Z,2026-06-27T18:45:00Z,yes
KXBTC15M-26JUN300445-45,2026-06-30T08:30:00Z,2026-06-30T08:45:00Z,no
KXBTC15M-26JUN252000-00,2026-06-25T23:45:00Z,2026-06-26T00:00:00Z,no
KXBTC15M-26JUN222045-45,2026-06-23T00:30:00Z,2026-06-23T00:45:00Z,yes
KXBTC15M-26JUN301500-00,2026-06-30T18:45:00Z,2026-06-30T19:00:00Z,yes
KXBTC15M-26JUN231445-45,2026-06-23T18:30:00Z,2026-06-23T18:45:00Z,no
KXBTC15M-26JUN271030-30,2026-06-27T14:15:00Z,2026-06-27T14:30:00Z,no
KXBTC15M-26JUN272215-15,2026-06-28T02:00:00Z,2026-06-28T02:15:00Z,yes
KXBTC15M-26JUN230815-15,2026-06-23T12:00:00Z,2026-06-23T12:15:00Z,no
KXBTC15M-26JUN251745-45,2026-06-25T21:30:00Z,2026-06-25T21:45:00Z,yes
