ts,resolved_ts,side,entry_price,delta,p_model,pnl,outcome,window_start,sigma,dfo,snr,ofi1,ofi5,btc
2026-05-13T09:59:17.894853+00:00,2026-05-13T10:05:33.108122+00:00,YES,0.95,20.98,0.718955815786218,5.21,UP,2026-05-13T09:55:00+00:00,,,,,,
2026-05-13T10:03:22.380958+00:00,2026-05-13T10:10:36.615857+00:00,NO,0.95,-50.67,0.8385977511590434,5.21,DOWN,2026-05-13T10:00:00+00:00,,,66.833,201349.5,-1001658.5,81237.615
2026-05-13T10:18:00.119222+00:00,2026-05-13T10:25:41.794917+00:00,YES,0.89,21.02,0.6125340224228045,12.12,UP,2026-05-13T10:15:00+00:00,,,,,,
2026-05-13T10:33:12.933902+00:00,2026-05-13T10:41:30.863344+00:00,YES,0.83,30.68,0.600572644828445,-100.0,DOWN,2026-05-13T10:30:00+00:00,,,36.025,-216445.0,192913.0,80950.01
2026-05-13T10:43:48.006127+00:00,2026-05-13T10:50:57.147919+00:00,NO,0.88,-20.51,0.6001267049175081,13.36,DOWN,2026-05-13T10:40:00+00:00,,,66.994,-308664.0,-115366.0,80897.91
2026-05-13T11:03:50.798081+00:00,2026-05-13T11:11:49.553917+00:00,NO,0.9,-25.12,0.6484098552614632,10.91,DOWN,2026-05-13T11:00:00+00:00,,,46.217,-183997.33333333334,-131377.0,80773.26666666666
2026-05-13T11:08:01.019922+00:00,2026-05-13T11:16:56.769904+00:00,NO,0.88,-95.51,0.8006506147640651,13.36,DOWN,2026-05-13T11:05:00+00:00,,,49.239,-20373.0,-2605077.6666666665,80657.46
2026-05-13T11:13:00.170954+00:00,2026-05-13T11:16:56.848844+00:00,NO,0.93,-74.06,0.7317513354404719,7.42,DOWN,2026-05-13T11:10:00+00:00,,,37.002,1019.6666666666666,-4560267.666666667,80584.36333333333
2026-05-13T11:23:32.919894+00:00,2026-05-13T11:27:00.272968+00:00,NO,0.81,-24.81,0.6121227781014349,22.86,DOWN,2026-05-13T11:20:00+00:00,,,23.499,-77139.0,1601600.0,80621.33
2026-05-13T11:28:00.030501+00:00,2026-05-13T11:36:47.356799+00:00,NO,0.91,-44.25,0.643894217759321,9.72,DOWN,2026-05-13T11:25:00+00:00,,,37.827,144898.25,525496.75,80589.35250000001
2026-05-13T11:48:06.427937+00:00,2026-05-13T11:51:51.492422+00:00,NO,0.86,-28.36,0.6022076565066944,15.92,DOWN,2026-05-13T11:45:00+00:00,,,40.866,-250094.0,650085.0,80645.67
2026-05-13T11:53:00.073795+00:00,2026-05-13T11:57:18.897967+00:00,NO,0.95,-58.49,0.7048406752513248,5.21,DOWN,2026-05-13T11:50:00+00:00,,,39.58,124264.0,-1267767.0,80543.4
2026-05-13T11:58:00.410074+00:00,2026-05-13T12:05:45.481042+00:00,NO,0.91,-31.13,0.6131343893525252,9.72,DOWN,2026-05-13T11:55:00+00:00,,,43.811,1275342.0,-950038.0,80500.68
2026-05-13T12:03:00.489889+00:00,2026-05-13T12:07:05.985844+00:00,YES,0.95,44.86,0.6606888975139205,5.21,UP,2026-05-13T12:00:00+00:00,,,,,,
