id,ts,side,entry_price,stake,shares,ob_shares,signal,delta,p_model,confidence,window_start,market_slug,pnl,result,outcome,resolved_ts,session_id
4614,2026-05-22T10:23:01.762635+00:00,YES,0.91,100.0,109.72,222.0,BUY YES,40.42,0.7476099909380152,0.7476099909380152,2026-05-22T10:20:00+00:00,btc-updown-5m-1779445200,9.72,WIN,UP,2026-05-22T10:29:15.296408+00:00,s_third
4615,2026-05-22T10:29:29.266693+00:00,YES,0.95,100.0,105.21,146.0,BUY YES,21.35,0.8674877764483659,0.8674877764483659,2026-05-22T10:25:00+00:00,btc-updown-5m-1779445500,5.21,WIN,UP,2026-05-22T10:33:38.228747+00:00,s_third
4617,2026-05-22T10:38:00.053594+00:00,NO,0.84,100.0,118.6,191.0,BUY NO,-24.56,0.6287912106184712,0.6287912106184712,2026-05-22T10:35:00+00:00,btc-updown-5m-1779446100,18.6,WIN,DOWN,2026-05-22T10:42:43.023539+00:00,s_third
4619,2026-05-22T10:49:10.535858+00:00,NO,0.94,100.0,106.3,473.0,BUY NO,-22.93,0.7715989721732094,0.7715989721732094,2026-05-22T10:45:00+00:00,btc-updown-5m-1779446700,6.3,WIN,DOWN,2026-05-22T10:54:07.897951+00:00,s_third
4620,2026-05-22T11:04:24.768194+00:00,YES,0.95,100.0,105.21,20.0,BUY YES,21.58,0.935075548880945,0.935075548880945,2026-05-22T11:00:00+00:00,btc-updown-5m-1779447600,5.21,WIN,UP,2026-05-22T11:09:14.077643+00:00,s_third
4622,2026-05-22T11:08:09.995299+00:00,NO,0.95,100.0,105.21,461.0,BUY NO,-38.12,0.7631570446485567,0.7631570446485567,2026-05-22T11:05:00+00:00,btc-updown-5m-1779447900,5.21,WIN,DOWN,2026-05-22T11:14:18.664504+00:00,s_third
4624,2026-05-22T11:18:00.530010+00:00,NO,0.92,100.0,108.56,454.0,BUY NO,-39.78,0.7136264675243621,0.7136264675243621,2026-05-22T11:15:00+00:00,btc-updown-5m-1779448500,8.56,WIN,DOWN,2026-05-22T11:24:25.736244+00:00,s_third
4625,2026-05-22T11:23:00.400356+00:00,YES,0.91,100.0,109.72,333.0,BUY YES,24.9,0.6071449397906497,0.6071449397906497,2026-05-22T11:20:00+00:00,btc-updown-5m-1779448800,9.72,WIN,UP,2026-05-22T11:30:09.370097+00:00,s_third
4626,2026-05-22T11:38:01.054119+00:00,YES,0.9,100.0,110.91,154.0,BUY YES,35.65,0.6520507617520118,0.6520507617520118,2026-05-22T11:35:00+00:00,btc-updown-5m-1779449700,10.91,WIN,UP,2026-05-22T11:44:56.242996+00:00,s_third
4627,2026-05-22T11:48:00.728319+00:00,YES,0.86,100.0,115.92,245.0,BUY YES,32.61,0.6392342337784014,0.6392342337784014,2026-05-22T11:45:00+00:00,btc-updown-5m-1779450300,15.92,WIN,UP,2026-05-22T11:55:00.899361+00:00,s_third
4628,2026-05-22T12:13:00.608664+00:00,YES,0.95,100.0,105.21,50.0,BUY YES,89.08,0.6686002666213592,0.6686002666213592,2026-05-22T12:10:00+00:00,btc-updown-5m-1779451800,5.21,WIN,UP,2026-05-22T12:20:28.589741+00:00,s_third
4630,2026-05-22T12:18:00.578706+00:00,NO,0.53,100.0,187.13,1719.0,BUY NO,-56.39,0.6087787030973273,0.6087787030973273,2026-05-22T12:15:00+00:00,btc-updown-5m-1779452100,-100.0,LOSS,UP,2026-05-22T12:26:33.019448+00:00,s_third
4632,2026-05-22T12:28:00.852756+00:00,NO,0.95,100.0,105.21,954.0,BUY NO,-55.54,0.6075030690743487,0.6075030690743487,2026-05-22T12:25:00+00:00,btc-updown-5m-1779452700,5.21,WIN,DOWN,2026-05-22T12:37:02.222652+00:00,s_third
4633,2026-05-22T12:34:00.334709+00:00,YES,0.95,100.0,105.21,451.0,BUY YES,30.56,0.6177561488796541,0.6177561488796541,2026-05-22T12:30:00+00:00,btc-updown-5m-1779453000,5.21,WIN,UP,2026-05-22T12:41:44.842892+00:00,s_third
4635,2026-05-22T12:43:13.098427+00:00,NO,0.92,100.0,108.56,329.0,BUY NO,-29.37,0.6111983788804825,0.6111983788804825,2026-05-22T12:40:00+00:00,btc-updown-5m-1779453600,8.56,WIN,DOWN,2026-05-22T12:47:09.039474+00:00,s_third
4636,2026-05-22T12:48:01.077188+00:00,YES,0.95,100.0,105.21,945.0,BUY YES,38.43,0.6300721116786316,0.6300721116786316,2026-05-22T12:45:00+00:00,btc-updown-5m-1779453900,5.21,WIN,UP,2026-05-22T12:51:51.366650+00:00,s_third
4637,2026-05-22T12:53:01.233949+00:00,YES,0.93,100.0,107.42,301.0,BUY YES,37.16,0.6900704179456923,0.6900704179456923,2026-05-22T12:50:00+00:00,btc-updown-5m-1779454200,7.42,WIN,UP,2026-05-22T12:56:53.291919+00:00,s_third
4639,2026-05-22T12:58:00.231215+00:00,NO,0.88,100.0,113.36,222.0,BUY NO,-28.45,0.6348567067338858,0.6348567067338858,2026-05-22T12:55:00+00:00,btc-updown-5m-1779454500,-100.0,LOSS,UP,2026-05-22T13:01:56.500840+00:00,s_third
